INFO 2026-02-07 17:18:47 db_utils.py:102 [1m[34mLogs will be synced with wandb.[0m
INFO 2026-02-07 17:18:47 db_utils.py:103 Track this run --> [1m[33mhttps://wandb.ai/woolimi-ecole42/lerobot/runs/o8qme2kx[0m
INFO 2026-02-07 17:18:47 ot_train.py:217 Device selection: accelerator.device=cuda | cfg.policy.device=cuda | CUDA_VISIBLE_DEVICES=None
INFO 2026-02-07 17:18:47 ot_train.py:232 Torch backends: torch=2.7.1+cu126 | cuda_available=True (build=12.6, count=1, gpu0=NVIDIA RTX 6000 Ada Generation) | mps_available=False | xpu_available=False
INFO 2026-02-07 17:18:47 ot_train.py:258 Creating dataset
INFO 2026-02-07 17:18:48 ot_train.py:278 Creating policy
INFO 2026-02-07 17:18:49 ot_train.py:333 Creating optimizer and scheduler
INFO 2026-02-07 17:18:49 ot_train.py:370 [1m[33mOutput dir:[0m outputs/train/v1.0
INFO 2026-02-07 17:18:49 ot_train.py:377 cfg.steps=400000 (400K)
INFO 2026-02-07 17:18:49 ot_train.py:378 dataset.num_frames=62498 (62K)
INFO 2026-02-07 17:18:49 ot_train.py:379 dataset.num_episodes=185
INFO 2026-02-07 17:18:49 ot_train.py:382 Effective batch size: 16 x 1 = 16
INFO 2026-02-07 17:18:49 ot_train.py:383 num_learnable_params=51597190 (52M)
INFO 2026-02-07 17:18:49 ot_train.py:384 num_total_params=51597190 (52M)
INFO 2026-02-07 17:18:49 ot_train.py:440 Start offline training on a fixed dataset, with effective batch size: 16
INFO 2026-02-07 17:21:30 ot_train.py:470 step:200 smpl:3K ep:9 epch:0.05 loss:6.014 grdn:115.258 lr:1.0e-05 updt_s:0.759 data_s:0.046
INFO 2026-02-07 17:24:03 ot_train.py:470 step:400 smpl:6K ep:19 epch:0.10 loss:2.648 grdn:60.516 lr:1.0e-05 updt_s:0.743 data_s:0.021
INFO 2026-02-07 17:26:35 ot_train.py:470 step:600 smpl:10K ep:28 epch:0.15 loss:2.174 grdn:54.314 lr:1.0e-05 updt_s:0.737 data_s:0.021
INFO 2026-02-07 17:29:06 ot_train.py:470 step:800 smpl:13K ep:38 epch:0.20 loss:1.870 grdn:49.263 lr:1.0e-05 updt_s:0.738 data_s:0.020
INFO 2026-02-07 17:31:39 ot_train.py:470 step:1K smpl:16K ep:47 epch:0.26 loss:1.661 grdn:46.868 lr:1.0e-05 updt_s:0.742 data_s:0.020
INFO 2026-02-07 17:34:12 ot_train.py:470 step:1K smpl:19K ep:57 epch:0.31 loss:1.467 grdn:44.164 lr:1.0e-05 updt_s:0.742 data_s:0.021
INFO 2026-02-07 17:36:45 ot_train.py:470 step:1K smpl:22K ep:66 epch:0.36 loss:1.296 grdn:41.364 lr:1.0e-05 updt_s:0.743 data_s:0.022
INFO 2026-02-07 17:39:17 ot_train.py:470 step:2K smpl:26K ep:76 epch:0.41 loss:1.160 grdn:39.650 lr:1.0e-05 updt_s:0.741 data_s:0.021
INFO 2026-02-07 17:41:50 ot_train.py:470 step:2K smpl:29K ep:85 epch:0.46 loss:1.016 grdn:36.323 lr:1.0e-05 updt_s:0.742 data_s:0.022
INFO 2026-02-07 17:44:23 ot_train.py:470 step:2K smpl:32K ep:95 epch:0.51 loss:0.914 grdn:34.492 lr:1.0e-05 updt_s:0.741 data_s:0.023
INFO 2026-02-07 17:46:55 ot_train.py:470 step:2K smpl:35K ep:104 epch:0.56 loss:0.820 grdn:32.293 lr:1.0e-05 updt_s:0.738 data_s:0.022
INFO 2026-02-07 17:49:28 ot_train.py:470 step:2K smpl:38K ep:114 epch:0.61 loss:0.733 grdn:30.386 lr:1.0e-05 updt_s:0.740 data_s:0.022
INFO 2026-02-07 17:52:01 ot_train.py:470 step:3K smpl:42K ep:123 epch:0.67 loss:0.659 grdn:28.367 lr:1.0e-05 updt_s:0.740 data_s:0.022
INFO 2026-02-07 17:54:34 ot_train.py:470 step:3K smpl:45K ep:133 epch:0.72 loss:0.606 grdn:26.635 lr:1.0e-05 updt_s:0.742 data_s:0.023
INFO 2026-02-07 17:57:07 ot_train.py:470 step:3K smpl:48K ep:142 epch:0.77 loss:0.552 grdn:25.354 lr:1.0e-05 updt_s:0.742 data_s:0.023
INFO 2026-02-07 17:57:07 ot_train.py:490 Checkpoint policy after step 3000
INFO 2026-02-07 17:59:43 ot_train.py:470 step:3K smpl:51K ep:152 epch:0.82 loss:0.507 grdn:24.273 lr:1.0e-05 updt_s:0.743 data_s:0.023
INFO 2026-02-07 18:02:19 ot_train.py:470 step:3K smpl:54K ep:161 epch:0.87 loss:0.482 grdn:22.890 lr:1.0e-05 updt_s:0.756 data_s:0.023
INFO 2026-02-07 18:04:52 ot_train.py:470 step:4K smpl:58K ep:171 epch:0.92 loss:0.451 grdn:22.204 lr:1.0e-05 updt_s:0.741 data_s:0.023
INFO 2026-02-07 18:07:25 ot_train.py:470 step:4K smpl:61K ep:180 epch:0.97 loss:0.428 grdn:21.919 lr:1.0e-05 updt_s:0.742 data_s:0.024
INFO 2026-02-07 18:10:04 ot_train.py:470 step:4K smpl:64K ep:189 epch:1.02 loss:0.403 grdn:21.053 lr:1.0e-05 updt_s:0.743 data_s:0.051
INFO 2026-02-07 18:12:37 ot_train.py:470 step:4K smpl:67K ep:199 epch:1.08 loss:0.379 grdn:19.673 lr:1.0e-05 updt_s:0.738 data_s:0.023
INFO 2026-02-07 18:15:09 ot_train.py:470 step:4K smpl:70K ep:208 epch:1.13 loss:0.366 grdn:18.821 lr:1.0e-05 updt_s:0.737 data_s:0.023
INFO 2026-02-07 18:17:41 ot_train.py:470 step:5K smpl:74K ep:218 epch:1.18 loss:0.352 grdn:18.240 lr:1.0e-05 updt_s:0.738 data_s:0.023
INFO 2026-02-07 18:20:14 ot_train.py:470 step:5K smpl:77K ep:227 epch:1.23 loss:0.344 grdn:17.985 lr:1.0e-05 updt_s:0.738 data_s:0.023
INFO 2026-02-07 18:22:46 ot_train.py:470 step:5K smpl:80K ep:237 epch:1.28 loss:0.337 grdn:17.852 lr:1.0e-05 updt_s:0.737 data_s:0.023
INFO 2026-02-07 18:25:18 ot_train.py:470 step:5K smpl:83K ep:246 epch:1.33 loss:0.324 grdn:18.188 lr:1.0e-05 updt_s:0.735 data_s:0.023
INFO 2026-02-07 18:27:50 ot_train.py:470 step:5K smpl:86K ep:256 epch:1.38 loss:0.315 grdn:17.079 lr:1.0e-05 updt_s:0.736 data_s:0.023
INFO 2026-02-07 18:30:22 ot_train.py:470 step:6K smpl:90K ep:265 epch:1.43 loss:0.305 grdn:17.007 lr:1.0e-05 updt_s:0.737 data_s:0.024
INFO 2026-02-07 18:32:54 ot_train.py:470 step:6K smpl:93K ep:275 epch:1.48 loss:0.298 grdn:16.101 lr:1.0e-05 updt_s:0.737 data_s:0.024
INFO 2026-02-07 18:35:26 ot_train.py:470 step:6K smpl:96K ep:284 epch:1.54 loss:0.290 grdn:15.721 lr:1.0e-05 updt_s:0.736 data_s:0.024
INFO 2026-02-07 18:35:26 ot_train.py:490 Checkpoint policy after step 6000
INFO 2026-02-07 18:38:01 ot_train.py:470 step:6K smpl:99K ep:294 epch:1.59 loss:0.286 grdn:16.215 lr:1.0e-05 updt_s:0.740 data_s:0.023
INFO 2026-02-07 18:40:34 ot_train.py:470 step:6K smpl:102K ep:303 epch:1.64 loss:0.280 grdn:15.301 lr:1.0e-05 updt_s:0.740 data_s:0.023
INFO 2026-02-07 18:43:07 ot_train.py:470 step:7K smpl:106K ep:313 epch:1.69 loss:0.274 grdn:15.453 lr:1.0e-05 updt_s:0.739 data_s:0.023
INFO 2026-02-07 18:45:39 ot_train.py:470 step:7K smpl:109K ep:322 epch:1.74 loss:0.269 grdn:15.596 lr:1.0e-05 updt_s:0.738 data_s:0.023
